Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
1998-VHJHK,Female,36,No,0,Santa Barbara,93101,34,-120,0,27,None,Yes,20,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,One Year,No,Credit Card,19,501,0,0,545,1046,Stayed,Not churned,unknown
2000-DHJUY,Female,67,Yes,0,Menlo Park,94025,37,-122,1,70,Offer A,Yes,19,Yes,Yes,DSL,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,92,6474,0,0,1307,7781,Stayed,Not churned,unknown
2000-MPKCA,Female,51,No,0,San Pedro,90732,34,-118,0,58,Offer B,Yes,47,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,108,6333,0,0,2709,9041,Stayed,Not churned,unknown
2001-EWBQU,Female,23,No,0,Stockton,95210,38,-121,0,60,None,Yes,35,Yes,Yes,Fiber Optic,51,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,105,6334,0,150,2128,8612,Stayed,Not churned,unknown
2001-MCUUW,Male,51,No,0,Corona,92879,34,-118,0,46,None,Yes,38,Yes,Yes,Fiber Optic,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,109,4903,0,0,1725,6628,Stayed,Not churned,unknown
2002-MZHWP,Female,24,No,0,Delhi,95315,37,-121,0,1,Offer E,Yes,26,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Credit Card,20,20,0,0,26,47,Churned,Price,Long distance charges
2003-CKLOR,Male,62,No,0,Igo,96047,41,-123,0,66,Offer A,Yes,26,No,Yes,Cable,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,100,6710,0,0,1704,8415,Churned,Other,Moved
2004-OCQXK,Female,44,No,0,Merced,95348,37,-121,0,1,Offer E,Yes,45,No,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,82,82,0,0,45,127,Churned,Competitor,Competitor had better devices
2005-DWQZJ,Female,26,Yes,1,Stevenson Ranch,91381,34,-119,1,8,None,Yes,43,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Credit Card,19,202,0,0,341,543,Stayed,Not churned,unknown
2007-QVGAW,Female,51,Yes,1,Cypress,90630,34,-118,10,68,Offer A,Yes,47,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,Yes,Bank Withdrawal,19,1293,0,0,3169,4462,Stayed,Not churned,unknown
2011-TRQYE,Male,59,No,0,Deer Park,94576,39,-122,0,18,Offer D,No,0,No internet service,Yes,DSL,26,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,34,600,0,0,0,600,Churned,Dissatisfaction,Product dissatisfaction
2012-NWRPA,Female,78,Yes,0,Modesto,95355,38,-121,1,11,Offer D,Yes,1,Yes,Yes,Fiber Optic,14,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100,1131,0,0,14,1145,Churned,Competitor,Competitor made better offer
2013-SGDXK,Female,27,No,0,Mariposa,95338,38,-120,0,1,None,Yes,2,No,Yes,Fiber Optic,59,No,Yes,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,84,84,0,10,2,96,Churned,Competitor,Competitor offered more data
2014-MKGMH,Female,45,No,0,Riverside,92508,34,-117,0,46,Offer B,Yes,28,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,101,4674,0,0,1287,5961,Stayed,Not churned,unknown
2017-CCBLH,Female,55,No,0,Weott,95571,40,-124,0,8,None,Yes,23,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Credit Card,20,142,0,0,188,329,Stayed,Not churned,unknown
2018-PZKMU,Male,32,Yes,3,Santa Ana,92701,34,-118,10,9,Offer E,Yes,44,No,Yes,Fiber Optic,57,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,103,970,19,0,399,1351,Stayed,Not churned,unknown
2018-QKYGT,Male,19,Yes,3,San Gabriel,91775,34,-118,1,1,None,Yes,36,No,Yes,Fiber Optic,85,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81,81,0,0,36,117,Joined,Not churned,unknown
2019-HDCZY,Male,35,Yes,0,Farmersville,93223,36,-119,4,63,None,Yes,3,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,103,6297,0,0,171,6468,Stayed,Not churned,unknown
2023-VQFDL,Male,42,No,0,Riverside,92506,34,-117,0,18,Offer D,Yes,33,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Bank Withdrawal,19,349,0,0,597,946,Stayed,Not churned,unknown
2024-BASKD,Female,23,No,0,Exeter,93221,36,-119,0,1,Offer E,Yes,22,No,Yes,Fiber Optic,47,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,75,75,0,10,22,107,Churned,Competitor,Competitor offered more data
2025-JKFWI,Male,31,No,0,Burbank,91501,34,-118,0,13,None,Yes,24,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99,1302,0,0,314,1616,Churned,Price,Lack of affordable download/upload speed
2026-TGDHM,Female,54,No,0,Cloverdale,95425,39,-123,0,7,None,Yes,19,No,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79,523,0,10,134,668,Churned,Competitor,Competitor had better devices
2027-CWDNU,Male,45,Yes,3,Venice,90291,34,-118,1,18,None,Yes,28,No,Yes,Fiber Optic,28,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86,1602,0,0,505,2106,Stayed,Not churned,unknown
2027-DNKIV,Male,28,Yes,3,Spring Valley,91977,33,-117,1,37,None,Yes,36,No,Yes,DSL,76,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,59,2203,0,0,1320,3523,Stayed,Not churned,unknown
2027-FECZV,Male,44,No,0,Bodfish,93205,36,-118,0,12,None,Yes,25,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,107,1254,0,0,302,1556,Churned,Attitude,Attitude of support person
2027-OAQQC,Female,64,No,0,Aptos,95003,37,-122,0,43,Offer B,No,0,No internet service,Yes,DSL,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49,2076,20,0,0,2056,Churned,Competitor,Competitor offered more data
2027-WKXMW,Female,49,Yes,0,Montara,94037,38,-123,10,63,Offer B,Yes,20,Yes,Yes,Fiber Optic,26,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,109,6872,0,0,1283,8155,Stayed,Not churned,unknown
2030-BTZRO,Male,54,Yes,3,Northridge,91325,34,-119,1,6,None,Yes,41,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,Yes,Credit Card,20,108,0,0,248,356,Stayed,Not churned,unknown
2034-CGRHZ,Male,73,No,0,San Francisco,94104,38,-122,0,24,None,Yes,3,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,103,2497,0,0,78,2574,Churned,Attitude,Attitude of support person
2034-GDRCN,Female,47,No,0,San Diego,92122,33,-117,0,2,Offer E,Yes,11,No,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90,168,0,0,21,189,Churned,Other,Don't know
2037-SGXHH,Male,25,Yes,0,Campo Seco,95226,38,-121,1,38,None,Yes,50,Yes,Yes,Fiber Optic,30,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95,3624,0,0,1889,5513,Churned,Other,Don't know
2037-XJFUP,Male,24,Yes,0,Temecula,92592,34,-117,1,33,Offer C,Yes,42,No,Yes,Fiber Optic,41,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,96,3037,0,60,1379,4476,Churned,Competitor,Competitor made better offer
2038-LLMLM,Female,35,No,0,El Centro,92243,33,-116,0,48,None,Yes,10,Yes,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-4,4946,0,0,504,5450,Stayed,Not churned,unknown
2038-OEQZH,Male,63,No,0,Menifee,92584,34,-117,0,4,None,Yes,44,No,Yes,Fiber Optic,20,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,86,308,0,0,177,486,Stayed,Not churned,unknown
2038-YSEZE,Female,48,No,0,Los Angeles,90046,34,-118,0,29,Offer C,Yes,14,Yes,Yes,DSL,2,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,67,1801,0,0,398,2200,Stayed,Not churned,unknown
2039-JONDJ,Male,50,No,0,Burbank,91504,34,-118,0,27,None,Yes,20,No,Yes,DSL,21,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,55,1478,0,0,548,2025,Stayed,Not churned,unknown
2040-LDIWQ,Male,51,Yes,0,Woodland Hills,91367,34,-119,8,65,Offer B,Yes,42,Yes,Yes,DSL,16,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84,5324,0,0,2702,8027,Stayed,Not churned,unknown
2040-OBMLJ,Male,24,No,0,Dunlap,93621,37,-119,0,31,None,Yes,17,Yes,Yes,Fiber Optic,76,No,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,82,2549,0,0,533,3081,Stayed,Not churned,unknown
2040-VZIKE,Female,56,Yes,0,Stevinson,95374,37,-121,3,49,None,Yes,45,Yes,Yes,Fiber Optic,10,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,101,4847,0,0,2196,7043,Stayed,Not churned,unknown
2040-XBAVJ,Male,51,Yes,1,Malibu,90263,34,-119,0,72,Offer A,Yes,25,Yes,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,114,8101,0,0,1796,9897,Stayed,Not churned,unknown
2041-JIJCI,Female,37,No,0,Wendel,96136,40,-120,0,5,None,Yes,45,Yes,Yes,Cable,29,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64,370,0,0,224,594,Stayed,Not churned,unknown
2043-WVTQJ,Male,61,Yes,0,Westminster,92683,34,-118,10,1,None,Yes,18,No,Yes,Cable,9,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,56,56,0,0,18,73,Joined,Not churned,unknown
2045-BMBTJ,Female,80,No,0,South El Monte,91733,34,-118,0,33,None,No,0,No internet service,Yes,DSL,16,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,59,1885,0,0,0,1885,Stayed,Not churned,unknown
2049-BAFNW,Female,60,No,0,Vallejo,94592,38,-122,0,1,Offer E,No,0,No internet service,Yes,DSL,7,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,36,36,0,0,0,36,Joined,Not churned,unknown
2050-ONYDQ,Female,48,Yes,1,Montara,94037,38,-123,7,65,None,Yes,3,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Credit Card,26,1655,0,0,192,1847,Stayed,Not churned,unknown
2054-PJOCK,Female,32,No,0,Corona,92881,34,-118,0,60,None,Yes,16,Yes,Yes,Cable,18,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,81,4847,0,0,967,5814,Stayed,Not churned,unknown
2055-BFOCC,Male,65,Yes,0,Likely,96116,41,-120,1,63,None,Yes,41,No,Yes,DSL,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,84,5330,0,0,2561,7890,Stayed,Not churned,unknown
2055-PDADH,Female,71,No,0,Big Bend,96011,41,-122,0,3,Offer E,Yes,2,No,Yes,Fiber Optic,3,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70,205,0,0,7,211,Churned,Other,Don't know
2055-SIFSS,Female,75,Yes,0,Westmorland,92281,33,-116,5,55,None,Yes,30,Yes,Yes,Cable,29,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,52,2839,0,0,1624,4463,Stayed,Not churned,unknown
2056-EVGZL,Male,56,Yes,2,West Covina,91790,34,-118,9,68,None,Yes,9,No,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,106,7322,0,0,604,7926,Stayed,Not churned,unknown
2057-BOYKM,Female,70,Yes,0,Inglewood,90305,34,-118,10,72,None,Yes,28,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,97,6828,0,0,2022,8850,Stayed,Not churned,unknown
2057-ZBLPD,Female,50,Yes,0,Los Gatos,95032,37,-122,3,21,Offer D,Yes,42,Yes,Yes,Fiber Optic,29,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86,1809,0,0,887,2695,Churned,Competitor,Competitor offered more data
2058-DCJBE,Male,32,No,0,Los Angeles,90012,34,-118,0,5,Offer E,Yes,31,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70,325,0,0,156,480,Churned,Competitor,Competitor had better devices
2061-VVFST,Female,57,Yes,0,Whittier,90606,34,-118,1,37,None,Yes,45,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Bank Withdrawal,20,805,0,0,1672,2477,Stayed,Not churned,unknown
2065-MMKGR,Female,47,No,0,Diamond Springs,95619,39,-121,0,29,None,Yes,41,Yes,Yes,DSL,4,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,71,2080,0,0,1200,3280,Stayed,Not churned,unknown
2067-QYTCF,Female,41,Yes,0,Los Angeles,90057,34,-118,4,64,None,Yes,9,Yes,Yes,Fiber Optic,21,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,111,6953,0,0,550,7504,Stayed,Not churned,unknown
2068-WWXQZ,Male,61,No,0,Whittier,90604,34,-118,0,46,Offer B,Yes,30,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Bank Withdrawal,20,902,0,0,1392,2294,Stayed,Not churned,unknown
2070-FNEXE,Female,77,No,2,Pasadena,91107,34,-118,0,7,Offer E,Yes,27,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76,504,11,0,189,681,Churned,Price,Lack of affordable download/upload speed
2070-XYMFH,Female,66,No,0,Long Beach,90815,34,-118,0,23,None,Yes,9,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,79,1835,15,0,201,2020,Stayed,Not churned,unknown
2072-ZVJJX,Male,47,Yes,0,Sacramento,95818,39,-121,5,68,Offer A,Yes,23,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Bank Withdrawal,25,1728,0,0,1552,3281,Stayed,Not churned,unknown
2073-QBVBI,Female,59,Yes,0,Los Angeles,90077,34,-118,10,41,None,No,0,No internet service,Yes,Cable,17,No,Yes,No,Yes,No,No,No,Yes,One Year,No,Credit Card,35,1392,0,0,0,1392,Stayed,Not churned,unknown
2074-GKOWZ,Male,49,Yes,0,Novato,94947,38,-123,1,2,Offer E,Yes,9,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90,186,0,0,18,203,Churned,Competitor,Competitor had better devices
2074-GUHPQ,Female,37,No,2,Albion,95410,39,-124,0,17,None,Yes,50,Yes,Yes,Fiber Optic,19,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,93,1557,0,0,846,2403,Stayed,Not churned,unknown
2075-PUEPR,Male,46,Yes,2,Newport Coast,92657,34,-118,2,55,None,Yes,25,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Bank Withdrawal,19,1153,0,0,1358,2512,Stayed,Not churned,unknown
2075-RMJIK,Female,54,Yes,3,Santa Ysabel,92070,33,-117,3,5,None,Yes,47,No,Yes,Cable,52,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,49,233,0,10,235,478,Stayed,Not churned,unknown
2077-DDHJK,Female,48,Yes,0,Goleta,93117,34,-120,2,68,None,Yes,27,Yes,Yes,DSL,9,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,71,4911,49,0,1864,6726,Stayed,Not churned,unknown
2077-MPJQO,Male,80,Yes,0,Menlo Park,94025,37,-122,2,7,None,Yes,21,Yes,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-10,533,0,0,150,683,Stayed,Not churned,unknown
2079-FBMZK,Female,50,No,0,Antelope,95843,39,-121,0,6,None,Yes,39,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,69,418,0,0,236,655,Churned,Competitor,Competitor made better offer
2080-CAZNM,Female,78,No,0,Burbank,91502,34,-118,0,41,Offer B,Yes,6,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104,4134,0,0,260,4393,Stayed,Not churned,unknown
2080-GKCWQ,Male,54,No,0,San Pablo,94806,38,-122,0,2,None,Yes,4,No,Yes,Fiber Optic,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75,152,0,0,8,159,Joined,Not churned,unknown
2080-SRCDE,Female,21,No,1,Walnut,91789,34,-118,0,1,Offer E,Yes,33,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Mailed Check,25,25,0,0,33,58,Joined,Not churned,unknown
2081-KJSQF,Male,25,No,0,Isleton,95641,38,-122,0,1,None,Yes,43,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,Yes,Credit Card,20,20,0,0,43,63,Joined,Not churned,unknown
2081-VEYEH,Male,42,No,0,Compton,90221,34,-118,0,3,Offer E,Yes,13,No,Yes,Fiber Optic,28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,108,319,0,0,38,357,Joined,Not churned,unknown
2082-CEFLT,Male,31,No,0,San Diego,92109,33,-117,0,1,Offer E,Yes,12,No,Yes,DSL,24,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,46,46,0,0,12,57,Churned,Competitor,Competitor made better offer
2082-OJVTK,Male,25,Yes,0,San Diego,92109,33,-117,1,29,None,Yes,4,Yes,Yes,Fiber Optic,48,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89,2698,0,0,116,2814,Churned,Competitor,Competitor made better offer
2085-BOJKI,Male,33,Yes,0,Long Beach,90822,34,-118,1,17,Offer D,Yes,29,No,Yes,Fiber Optic,5,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,97,1588,0,0,490,2078,Stayed,Not churned,unknown
2085-JVGAD,Male,56,Yes,0,Ivanhoe,93235,36,-119,3,37,None,Yes,2,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Bank Withdrawal,20,698,45,0,80,732,Stayed,Not churned,unknown
2087-QAREY,Female,60,Yes,0,Sequoia National Park,93262,37,-119,1,22,Offer D,Yes,40,No,Yes,Cable,16,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55,1179,0,0,876,2055,Stayed,Not churned,unknown
2088-IEBAU,Female,63,No,0,Poway,92064,33,-117,0,68,None,Yes,22,Yes,Yes,DSL,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,88,6148,36,0,1484,7596,Stayed,Not churned,unknown
2091-GPPIQ,Female,56,Yes,0,Yuba City,95991,39,-122,10,72,Offer A,Yes,26,Yes,Yes,Cable,6,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,79,5730,0,0,1875,7605,Stayed,Not churned,unknown
2091-MJTFX,Female,57,Yes,2,Auburn,95602,39,-121,1,30,None,No,0,No internet service,Yes,DSL,12,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,51,1562,0,0,0,1562,Churned,Dissatisfaction,Network reliability
2091-RFFBA,Female,70,No,0,Port Costa,94569,38,-122,0,31,None,Yes,15,Yes,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74,2217,0,0,478,2695,Churned,Attitude,Attitude of support person
2096-XOTMO,Female,40,Yes,3,Marysville,95901,39,-122,10,16,None,Yes,13,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Credit Card,19,276,33,0,205,448,Stayed,Not churned,unknown
2097-YVPKN,Male,56,No,0,Healdsburg,95448,39,-123,0,65,None,Yes,5,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Credit Card,26,1655,42,0,318,1932,Stayed,Not churned,unknown
2100-BDNSN,Female,39,Yes,0,Strawberry Valley,95981,40,-121,1,5,None,Yes,15,Yes,Yes,DSL,4,No,No,Yes,Yes,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,68,350,0,20,74,445,Churned,Price,Price too high
2101-RANCD,Female,50,No,0,El Dorado Hills,95762,39,-121,0,55,None,Yes,9,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73,4145,0,0,491,4636,Stayed,Not churned,unknown
2103-ZRXFN,Male,19,No,0,La Quinta,92253,34,-116,0,1,None,Yes,25,Yes,Yes,DSL,26,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,51,51,0,0,25,75,Joined,Not churned,unknown
2105-PHWON,Female,41,Yes,0,Navarro,95463,39,-124,1,33,None,Yes,10,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,95,3008,0,60,341,3409,Stayed,Not churned,unknown
2107-FBPTK,Female,80,No,0,Ramona,92065,33,-117,0,30,None,Yes,42,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104,3121,0,0,1258,4379,Stayed,Not churned,unknown
2108-GLPQB,Male,49,Yes,0,Los Angeles,90025,34,-118,7,25,Offer C,Yes,12,Yes,Yes,DSL,10,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,56,1405,0,0,290,1695,Stayed,Not churned,unknown
2108-XWMPY,Male,29,No,0,Cabazon,92230,34,-117,0,3,None,No,0,No internet service,Yes,DSL,85,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,35,107,0,0,0,107,Churned,Other,Moved
2108-YKQTY,Female,42,No,0,Santa Monica,90403,34,-118,0,4,None,Yes,10,No,Yes,DSL,30,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,51,151,0,0,39,191,Churned,Other,Don't know
2111-DWYHN,Male,31,No,0,Aptos,95003,37,-122,0,1,None,Yes,19,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Credit Card,21,21,0,0,19,40,Joined,Not churned,unknown
2114-MGINA,Female,57,No,0,Rio Vista,94571,38,-122,0,14,Offer D,Yes,10,No,Yes,Fiber Optic,29,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90,1129,0,0,144,1273,Churned,Attitude,Attitude of support person
2115-BFTIW,Male,52,No,0,Clearlake Oaks,95423,39,-123,0,25,None,Yes,25,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,71,1767,0,20,623,2410,Churned,Dissatisfaction,Product dissatisfaction
2120-SMPEX,Male,43,No,0,Santa Rosa,95403,38,-123,0,25,Offer C,Yes,18,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,Yes,Mailed Check,20,536,0,0,441,977,Stayed,Not churned,unknown
2121-JAFOM,Female,23,Yes,0,Danville,94526,38,-122,1,72,None,Yes,2,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116,8312,0,0,120,8433,Stayed,Not churned,unknown
2122-SZZZD,Male,60,No,0,Sacramento,95834,39,-122,0,44,None,Yes,18,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,One Year,No,Credit Card,20,836,0,0,798,1634,Stayed,Not churned,unknown
2122-YWVYA,Female,44,No,0,San Francisco,94116,38,-122,0,18,Offer D,Yes,15,No,Yes,Fiber Optic,22,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75,1380,0,0,270,1651,Stayed,Not churned,unknown
2123-AGEEN,Female,66,No,0,Millbrae,94030,38,-122,0,7,Offer E,Yes,26,No,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,84,610,29,10,184,775,Stayed,Not churned,unknown
2123-VSCOT,Female,39,Yes,0,Pomona,91767,34,-118,9,59,None,Yes,25,Yes,Yes,Cable,24,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,72,4195,0,0,1464,5659,Stayed,Not churned,unknown
2126-GSEGL,Female,53,Yes,0,Solvang,93463,35,-120,7,70,None,Yes,9,Yes,Yes,DSL,24,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,85,5918,0,120,650,6687,Stayed,Not churned,unknown
